tweet_created_at,tweet_id,tweet_user_id,tweet_textTue Jan 12 23:52:22 +0000 2016,687059575879667712,19562986,RT @mmatias_: Amanhã de manhã estarei no Fórum da TSF #presidenciais2016 #marisa2016  #votomarisa https://t.co/hGmjs8xUmG
Tue Jan 12 22:54:22 +0000 2016,687044980439932929,20781852,"Presidenciais: Candidato que garante orçamento sem o conhecer está a &amp;#34;servir mal os portugueses&amp;#34;, Nóvoa https://t.co/sVsdHa8rSK"
Tue Jan 12 22:52:32 +0000 2016,687044518215024641,94081671,Presidenciais: Edgar Silva confia que “será o povo a decidir e não alguns canais de televisão” https://t.co/tPA7JtAVDe
Tue Jan 12 22:50:17 +0000 2016,687043951493263366,94081671,Presidenciais: Marisa quer PR livre dos interesses que põem em causa a independência do país https://t.co/SQ500nYUVm
Tue Jan 12 22:49:33 +0000 2016,687043768332226560,976185420,RT @Lusa_noticias: Presidenciais: Capoulas Santos apoia Nóvoa e acusa Marcelo de querer esconder apoios
Tue Jan 12 22:48:07 +0000 2016,687043407374610432,94081671,Presidenciais: Edgar Silva confia que “será o povo a decidir e não alguns canais de televisão”
Tue Jan 12 22:48:03 +0000 2016,687043391549509632,20781852,Presidenciais: Edgar Silva confia que &amp;#34;será o povo a decidir e não alguns canais de televisão&amp;#34; https://t.co/e5TUyu5TKB
Tue Jan 12 22:45:55 +0000 2016,687042854204641281,94081671,Presidenciais: Marisa quer PR livre dos interesses que põem em causa a independência do país
Tue Jan 12 22:45:04 +0000 2016,687042640420974595,289953971,Como se revoga lei através de decreto? Expliquem essa Ateus! https://t.co/4PeSEeQTaC
Tue Jan 12 22:44:47 +0000 2016,687042568874504192,20781852,Presidenciais: Marisa quer PR livre dos interesses que põem em causa a independência do país https://t.co/R9z9qTTRyV
Tue Jan 12 22:42:56 +0000 2016,687042102753116160,3035574749,RT @BernardoPiment4: Vai na volta e as presidenciais de 2036 vão ser feitas no Facebook
Tue Jan 12 22:42:40 +0000 2016,687042035153502208,626927311,Vai na volta e as presidenciais de 2036 vão ser feitas no Facebook
Tue Jan 12 22:41:33 +0000 2016,687041754927919105,94081671,Presidenciais: Capoulas Santos apoia Nóvoa e acusa Marcelo de querer esconder apoios
Tue Jan 12 22:41:33 +0000 2016,687041753527021568,20781852,Presidenciais: Capoulas Santos apoia Nóvoa e acusa Marcelo de querer esconder apoios https://t.co/1geDLKfTuJ
Tue Jan 12 22:40:36 +0000 2016,687041516842389504,3089305179,Ó Nóvoa não sejas Costa! #presidenciais2016 https://t.co/fGZqdJMEgF
Tue Jan 12 22:39:10 +0000 2016,687041152642617346,264230483,"RT @jorgerocha2015: Nas presidenciais ter ou não ter telhados de vidro, eis a questão... https://t.co/GCpQFOj89k https://t.co/6WQ1ebKjQk"
Tue Jan 12 22:38:36 +0000 2016,687041010254254080,485975606,[RTP Noticias] Um passeio no parque ou a culpa é de Marcelo https://t.co/Lj10TpLOPL
Tue Jan 12 22:38:33 +0000 2016,687040997721686016,121176422,"Um passeio no parque ou a culpa é de Marcelo:   Passe o que passar, como dizem os espanhóis, o Professor é o i... https://t.co/C8pY6cNZXN"
Tue Jan 12 22:37:27 +0000 2016,687040722902597632,21921103,Um passeio no parque ou a culpa é de Marcelo https://t.co/UIhoe4gLWu via @sharethis
Tue Jan 12 22:33:20 +0000 2016,687039687710650368,2262898614,"RT @FilipeHonorio: Candidatos com mais votos em presidenciais: Mário Soares (1991), Ramalho Eanes (1980), Jorge Sampaio (1996). Todos apoia…"
Tue Jan 12 22:31:20 +0000 2016,687039184331214849,1367931990,"RT @mmatias_: ""Fazer do combate à corrupção uma generalização é o que favorece os corruptos""(Leiria) #presidenciais2016 #votomarisa"
Tue Jan 12 22:31:12 +0000 2016,687039151166873600,1252917283,"RT @omalestafeito: o Santana deve estar tão arrependido de não ter concorrido às eleições  presidenciais. Isto, afinal, estava tão para ele"
Tue Jan 12 22:29:26 +0000 2016,687038706549665792,28085944,Bem lembrado pelo Vitorino: os brancos e os nulos não contam nas presidenciais para apurar as percentagens dos votos dos candidatos
Tue Jan 12 22:29:26 +0000 2016,687038705241055233,264230483,"RT @FilipeHonorio: Candidatos com mais votos em presidenciais: Mário Soares (1991), Ramalho Eanes (1980), Jorge Sampaio (1996). Todos apoia…"
Tue Jan 12 22:28:38 +0000 2016,687038503042035712,2523720396,"RT @mmatias_: ""Eu não me candidato por interesse, e não sendo por interesse só pode ser por amor"" (Leiria) #presidenciais2016 #marisa2016 #…"
Tue Jan 12 22:28:34 +0000 2016,687038485031731202,2253896635,"RT @omalestafeito: o Santana deve estar tão arrependido de não ter concorrido às eleições  presidenciais. Isto, afinal, estava tão para ele"
Tue Jan 12 22:28:07 +0000 2016,687038374377598977,2241534721,"RT @omalestafeito: o Santana deve estar tão arrependido de não ter concorrido às eleições  presidenciais. Isto, afinal, estava tão para ele"
